ClubName,MatchesPlayed,MatchesWon,MatchesDrawn,MatchesLost,GoalsScored,GoalsConceded,CleanSheets,Points,PointsPerGame,Logo,Season
Arsenal,34,21,7,6,66,33,12,70,2.06,arsenal.jpg,2014
Aston Villa,35,9,8,18,29,50,9,35,1,astonvilla.jpg,2014
Burnley,35,5,11,19,26,53,7,26,0.74,burnley.jpg,2014
Chelsea,35,25,8,2,69,27,17,83,2.37,chelsea.jpg,2014
Crystal Palace,35,11,9,15,42,48,6,42,1.2,palace.jpg,2014
Everton,35,11,11,13,46,46,10,44,1.26,everton.jpg,2014
Hull City,35,8,10,17,33,48,9,34,0.97,hull.jpg,2014
Leicester City,35,9,7,19,39,54,8,34,0.97,leceister.jpg,2014
Liverpool,35,18,7,10,49,38,14,61,1.74,liverpool.jpg,2014
Manchester City,35,21,7,7,71,36,12,70,2,city.jpg,2014
Manchester United,35,19,8,8,59,35,10,65,1.86,manu.jpg,2014
Newcastle United,35,9,8,18,36,60,7,35,1,newcastle.jpg,2014
Queens Park Rangers,35,7,6,22,39,61,6,27,0.77,qpr.jpg,2014
Southampton,35,17,6,12,48,28,15,57,1.63,southampton.jpg,2014
Stoke City,35,13,8,14,39,44,7,47,1.34,stoke.jpg,2014
Sunderland,34,6,15,13,28,50,10,33,0.97,sunderland.jpg,2014
Swansea City,35,15,8,12,43,44,12,53,1.51,swansea.jpg,2014
Tottenham Hotspur,35,17,7,11,55,50,7,58,1.66,tottenham.jpg,2014
West Bromwich Albion,35,10,10,15,33,46,15,40,1.14,westbrom.jpg,2014
West Ham United,35,12,11,12,43,42,9,47,1.34,westham.jpg,2014
